x,y,w,h,Cx,Cy,W,H,distance,angle,x_center,y2,y_low,angle_calculated
0.537259454044905,0.5180901406967707,0.00611344238155354,0.03073702975169922,2888.3068249454095,1392.6262981929196,32.86586624323183,82.6211359725675,2000.0,15.0,200.30682494540952,1254.0631338207966,0.5027216258209212,13.413403456165815
0.6634245315177653,0.5237434931143455,0.017503573493183353,0.05114325380039531,3566.570281439506,1407.8225094913607,94.09921109935371,137.4730662154626,1200.0,60.0,878.5702814395058,1211.440957400908,0.4981718662141479,58.83283134639548
0.535532,0.570058,0.025486999999999996,0.123766,2879.020032,1532.3159039999998,137.01811199999997,332.68300800000003,500.0,15.0,191.0200319999999,989.3425920000002,0.5081749999999999,12.791519999999993
0.581066,0.553468,0.015119,0.088757,3123.8108159999997,1487.7219839999998,81.27974400000001,238.57881600000002,600.0,30.0,435.8108159999997,1080.988608,0.5090895,29.183759999999978
0.532321,0.5482909999999999,0.025098,0.090016,2861.757696,1473.8062079999995,134.926848,241.963008,700.0,15.0,173.75769600000012,1093.2122880000004,0.5032829999999998,11.635560000000009
0.5832761973637608,0.5842226347038584,0.027522647923502855,0.13917112534904466,3135.692837027578,1570.3904420839713,147.96175523675134,374.09198493823203,400.0,30.0,447.6928370275782,930.5635654469127,0.5146370720293361,29.979431050953895
0.6601610000000001,0.529843,0.011364,0.05904499999999999,3549.0255360000006,1424.217984,61.092864000000006,158.71295999999998,1000.0,60.0,861.0255360000006,1184.4255360000002,0.5003205,57.65796000000004
0.536605052247129,0.5173937018363824,0.006016853388281831,0.025872469569611665,2884.7887608805654,1390.754270536196,32.34660381540312,69.54519820311616,2200.0,15.0,196.7887608805654,1262.473130362246,0.5044574670515766,13.177818808966434
0.7440790000000002,0.5526190000000001,0.019375,0.09690099999999999,4000.1687040000006,1485.4398720000002,104.16,260.46988799999997,600.0,90.0,1312.1687040000006,1072.3251839999998,0.5041685000000001,87.86844000000004
0.7449269349311426,0.5047238359273113,0.005377619536999987,0.02488467079866723,4004.7272021898225,1356.6976709726127,28.91008263091193,66.88999510681752,2400.0,90.0,1316.7272021898225,1297.8573314739785,0.4922815005279777,88.17369657521132
