Cx;Cy;W;H;Cx;Cy;W;H;Dist;Ang;Xc;Yc
0.602324;0.54376;0.010999000000000002;0.067743;3238.093824;1461.62688;59.13062400000001;182.093184;80.0;34.0;550.093824;1135.326528
0.614448;0.5792719999999999;0.0225;0.139018;3303.272448;1557.0831359999997;120.96;373.680384;40.0;45.0;615.2724480000002;944.0766720000001
0.617499;0.561569;0.016901;0.11147800000000001;3319.674624;1509.497472;90.859776;299.652864;50.0;45.0;631.6746240000002;1028.676096
0.539495;0.529558;0.010543;0.062968;2900.3251199999995;1423.451904;56.679168000000004;169.257984;100.0;18.0;212.32511999999952;1179.919104
0.6035629999999998;0.5228879999999999;0.007789000000000001;0.041522;3244.754687999999;1405.5229439999998;41.873664000000005;111.61113600000002;140.0;34.0;556.7546879999991;1226.6714880000002
0.540863;0.53364;0.009777;0.055921000000000005;2907.6794879999998;1434.42432;52.56115199999999;150.315648;100.0;18.0;219.67948799999976;1178.417856
0.499882;0.6931530000000001;0.10296199999999998;0.33524100000000007;2687.365632;1863.1952640000004;553.5237119999999;901.1278080000002;10.0;0.0;-0.6343679999999949;374.2408319999995
0.60887;0.5411269999999999;0.01481;0.072718;3273.28512;1454.5493759999997;79.61856;195.46598400000002;80.0;34.0;585.28512;1135.7176320000003
0.560432;0.523419;0.0077729999999999995;0.042923;3012.8824320000003;1406.9502719999998;41.787648;115.377024;140.0;18.0;324.88243200000034;1223.3612160000002
0.567651;0.579426;0.027526;0.142266;3051.691776;1557.497088;147.979776;382.41100800000004;40.0;18.0;363.6917760000001;939.2974079999999
0.562414;0.565546;0.024236;0.11477;3023.537664;1520.187648;130.292736;308.50176;50.0;18.0;335.53766399999995;1013.5614719999999
0.592158;0.6332849999999999;0.041001;0.232202;3183.4414079999997;1702.2700799999998;220.421376;624.1589759999999;20.0;34.0;495.4414079999997;673.6504320000004
0.586951;0.599205;0.034227;0.172941;3155.448576;1610.66304;184.004352;464.865408;30.0;34.0;467.4485759999998;844.904256
0.598524;0.6479310000000001;0.042222;0.21279299999999998;3217.665024;1741.6385280000004;226.98547200000002;571.987584;20.0;34.0;529.6650239999999;660.3676799999996
0.599853;0.607002;0.028014;0.163906;3224.8097279999997;1631.621376;150.603264;440.579328;30.0;34.0;536.8097279999997;836.08896
0.6339580000000001;0.524841;0.008047;0.053883;3408.1582080000007;1410.772608;43.260672;144.837504;120.0;45.0;720.1582080000007;1204.80864
0.541521;0.576643;0.021619000000000003;0.142834;2911.2168960000004;1550.016384;116.22374400000001;383.93779199999994;40.0;18.0;223.21689600000036;946.0147200000001
0.539778;0.563482;0.016794;0.11648200000000002;2901.846528;1514.6396160000002;90.284544;313.10361600000005;50.0;18.0;213.84652800000003;1016.8085759999999
0.58388;0.5396459999999998;0.011062;0.068718;3138.9388799999997;1450.5684479999995;59.469312;184.713984;80.0;34.0;450.9388799999997;1145.0745600000005
0.49884800000000007;0.7204470000000001;0.086961;0.292015;2681.806848;1936.5615360000002;467.50233599999996;784.93632;10.0;0.0;-6.193151999999827;358.97030399999994
0.619767;0.563617;0.017579;0.10947599999999999;3331.8673919999997;1515.002496;94.504704;294.271488;50.0;45.0;643.8673919999997;1025.86176
0.6218780000000002;0.577155;0.022789;0.13497;3343.216128000001;1551.39264;122.513664;362.79936000000004;40.0;45.0;655.2161280000009;955.20768
0.622135;0.697305;0.091895;0.360086;3344.59776;1874.35584;494.02752000000004;967.9111680000001;10.0;45.0;656.5977600000001;329.688576
0.6031477008278672;0.5157285436963501;0.004972606106017848;0.028841115414905184;3242.522039650614;1386.2783254557892;26.732730425951953;77.52491823526513;200.0;34.0;554.5220396506138;1262.9592154265783
0.506971;0.537773;0.008645;0.05943400000000001;2725.476096;1445.5338239999999;46.47552;159.75859200000002;100.0;0.0;37.47609599999987;1162.58688
0.513253;0.533069;0.010752;0.059305;2759.2481279999997;1432.889472;57.802752;159.41183999999998;100.0;0.0;71.24812799999972;1175.4046079999998
0.539587;0.533255;0.00884;0.05745599999999999;2900.8197120000004;1433.3894400000001;47.52384000000001;154.44172799999998;100.0;18.0;212.81971200000044;1177.389696
0.625801;0.570641;0.019555;0.147233;3364.306176;1533.8830079999998;105.12768;395.76230400000003;40.0;45.0;676.306176;956.2358400000003
0.616865;0.556531;0.013485;0.122458;3316.26624;1495.955328;72.49536;329.167104;50.0;45.0;628.2662399999999;1027.46112
0.585231;0.540917;0.012226;0.070234;3146.2018559999997;1453.984896;65.72697600000001;188.788992;80.0;34.0;458.2018559999997;1139.6206080000002
0.504432;0.692299;0.092896;0.33222699999999994;2711.826432;1860.899712;499.408896;893.0261759999999;10.0;0.0;23.82643199999984;380.58719999999994
0.542421;0.56883;0.020562;0.09865;2916.0552960000005;1529.0150399999998;110.541312;265.1712;50.0;18.0;228.05529600000045;1026.3993600000003
0.6034;0.530527;0.01031;0.05919499999999999;3243.8784;1426.056576;55.426559999999995;159.11615999999998;100.0;34.0;555.8784;1182.385344
0.5444010000000001;0.5758820000000001;0.024340999999999998;0.139603;2926.699776000001;1547.9708160000002;130.857216;375.252864;40.0;18.0;238.69977600000084;952.4027519999997
0.607586;0.595599;0.035881;0.173032;3266.3823359999997;1600.970112;192.89625600000002;465.110016;30.0;34.0;578.3823359999997;854.47488
0.60709;0.633464;0.05435700000000001;0.233486;3263.7158400000003;1702.751232;292.22323200000005;627.610368;20.0;34.0;575.7158400000003;671.4435839999999
0.6339326809251256;0.5155509985499597;0.004070014441346356;0.025683194578152015;3408.022092653475;1385.8010841022915;21.880397636678012;69.03642702607262;220.0;45.0;720.0220926534748;1267.6807023846723
0.633566;0.523131;0.00616;0.036676;3406.050816;1406.176128;33.11616;98.585088;160.0;45.0;718.0508159999999;1232.531328
0.601225;0.55076;0.015388000000000002;0.095686;3232.1856000000002;1480.44288;82.72588800000001;257.203968;60.0;34.0;544.1856000000002;1078.955136
0.583457;0.6344880000000002;0.045852;0.225793;3136.664832;1705.5037440000006;246.500352;606.9315839999999;20.0;34.0;448.66483199999993;679.0304639999995
0.587707;0.598435;0.027987;0.17246100000000003;3159.512832;1608.59328;150.458112;463.5751680000001;30.0;34.0;471.5128319999999;847.6191359999998
0.508453;0.524087;0.007963;0.048067;2733.4433280000003;1408.745856;42.809087999999996;129.204096;140.0;0.0;45.44332800000029;1214.652096
0.539467;0.5817810000000001;0.028763;0.135387;2900.1745920000003;1563.8273280000003;154.629888;363.920256;40.0;18.0;212.1745920000003;942.2125439999998
0.542002;0.56524;0.018419;0.11064199999999999;2913.802752;1519.36512;99.020544;297.405696;50.0;18.0;225.80275200000005;1019.9320320000002
0.6339669999999998;0.5682060000000001;0.017468;0.102985;3408.206591999999;1527.3377280000002;93.90796800000001;276.82367999999997;50.0;45.0;720.2065919999991;1022.2504319999998
0.633733;0.583924;0.021167;0.128798;3406.948608;1569.587712;113.793792;346.209024;40.0;45.0;718.9486080000001;945.3077760000001
0.48855800000000005;0.7110129999999999;0.095965;0.323487;2626.4878080000003;1911.2029439999997;515.90784;869.5330560000001;10.0;0.0;-61.512191999999686;342.03052800000023
0.58473;0.5384100000000002;0.008684;0.073516;3143.50848;1447.2460800000003;46.68518400000001;197.611008;80.0;34.0;455.50847999999996;1141.9484159999997
0.508189;0.574615;0.022961999999999996;0.138518;2732.024064;1544.56512;123.44371199999998;372.336384;40.0;0.0;44.02406400000018;957.2666879999999
0.508739;0.561962;0.018488;0.116352;2734.980864;1510.553856;99.39148800000001;312.754176;50.0;0.0;46.98086400000011;1021.069056
0.608215;0.524902;0.00871;0.043151999999999996;3269.7638399999996;1410.936576;46.824960000000004;115.99257599999999;140.0;34.0;581.7638399999996;1219.067136
0.5410889999999999;0.534146;0.010509;0.059325;2908.8944639999995;1435.784448;56.496384;159.4656;100.0;18.0;220.89446399999952;1172.482752
0.602256;0.525239;0.006955;0.040395;3237.728256;1411.842432;37.390080000000005;108.58176;140.0;34.0;549.7282559999999;1221.866688
0.638745;0.580538;0.031359;0.145072;3433.89312;1560.486144;168.585984;389.95353600000004;40.0;45.0;745.8931200000002;932.537088
0.6393239999999999;0.56606;0.025662000000000004;0.11551300000000002;3437.0058239999994;1521.56928;137.95891200000003;310.49894400000005;50.0;45.0;749.0058239999994;1011.1812480000001
0.5859229999999999;0.5935289999999999;0.026063999999999997;0.187794;3149.9220479999994;1595.4059519999996;140.12006399999999;504.79027199999996;30.0;34.0;461.92204799999945;840.1989120000003
