x,y,w,h,Cx,Cy,W,H,distance,angle,x_center,y2,person,y_low,angle_rad
494.4272041320801,1521.6904640197754,0.006979,0.037759,3036.698112,1404.6923519999998,37.519104,101.49619200000001,1600.0,18.0,348.69811200000004,1232.5595520000002,6,0.45854150000000005,0.31415927
0.0,1600.0,0.0051717252470185274,0.03519860765136838,2734.605835468101,1401.9233288652063,27.803194927971603,94.61385736687821,1600.0,0.0,46.60583546810085,1238.7697424513547,1,0.46085183870958135,0.0
0.0,1700.0,0.0049401554598411225,0.03365480907016817,2728.1278724253266,1399.9433877798485,26.558275752105875,90.46412678061205,1700.0,0.0,40.127872425326586,1242.8245488298455,1,0.46236032322538895,0.0
61.80340051651001,190.21130800247192,0.042494,0.22292,2937.3388799999993,1709.799168,228.44774399999997,599.20896,200.0,18.0,249.33887999999934,678.596352,2,0.252454,0.31415927
92.70510077476501,285.3169620037079,0.030286,0.17134900000000003,2914.3511040000003,1619.6490239999998,162.817536,460.58611200000007,300.0,18.0,226.3511040000003,838.0579200000002,2,0.3117775000000001,0.31415927
212.13203072547913,212.13203072547913,0.029262,0.183494,3317.9005439999996,1606.571904,157.312512,493.23187199999995,300.0,45.0,629.9005439999996,834.8121600000002,4,0.31057000000000007,0.7853982
141.42135381698608,141.42135381698608,0.04151,0.240717,3323.781888,1707.2482559999996,223.15776,647.047296,200.0,45.0,635.781888,657.2280960000003,4,0.2445045000000001,0.7853982
0.0,600.0,0.018379,0.097288,2624.461056,1491.512064,98.805504,261.510144,600.0,0.0,-63.5389439999999,1065.732864,1,0.396478,0.0
0.0,700.0,0.013759,0.080557,2629.820928,1470.166656,73.968384,216.537216,700.0,0.0,-58.179071999999906,1109.5647359999998,1,0.41278449999999994,0.0
141.42135381698608,141.42135381698608,0.04747599999999999,0.234102,3285.590784,1698.3455999999999,255.23097599999994,629.266176,200.0,45.0,597.590784,675.0213120000001,5,0.251124,0.7853982
212.13203072547913,212.13203072547913,0.030484,0.17790099999999998,3324.125952,1605.389184,163.88198400000002,478.1978879999999,300.0,45.0,636.1259519999999,843.511872,5,0.3138065,0.7853982
92.70510077476501,285.3169620037079,0.027622,0.187945,2895.637247999999,1596.5940480000002,148.495872,505.19616,300.0,18.0,207.6372479999991,838.8078719999999,3,0.31205649999999996,0.31415927
61.80340051651001,190.21130800247192,0.033796,0.257269,2898.373632,1698.060672,181.687296,691.539072,200.0,18.0,210.37363199999982,644.1697919999999,3,0.23964649999999996,0.31415927
494.4272041320801,1521.6904640197754,0.006743,0.035114,3004.56576,1407.1706879999997,36.250368,94.386432,1600.0,18.0,316.56575999999995,1233.6360960000004,7,0.4589420000000001,0.31415927
1697.056245803833,1697.056245803833,0.0032687491303333618,0.021299591107333954,3406.6209303668784,1386.0230143052386,17.572795324672153,57.253300896513664,2400.0,45.0,718.6209303668784,1273.3503352465045,7,0.4737166425768246,0.7853982
1006.547212600708,1492.2676920890808,0.005710999999999999,0.032527,3239.303424,1398.507264,30.702335999999995,87.432576,1800.0,34.0,551.3034240000002,1245.7764479999998,7,0.46345849999999994,0.5934119
707.1067690849304,707.1067690849304,0.011485,0.062806,3309.992448,1427.5295999999998,61.74336,168.822528,1000.0,45.0,621.992448,1176.059136,5,0.437522,0.7853982
223.6771583557129,331.6150426864624,0.021376,0.13714,3153.4809600000003,1547.876736,114.91737599999999,368.63232000000005,400.0,34.0,465.4809600000003,955.807104,4,0.355583,0.5934119
279.5964479446411,414.518803358078,0.015936,0.110693,3137.3207039999998,1512.145152,85.67193599999999,297.542784,500.0,34.0,449.32070399999975,1027.0834559999998,4,0.3820994999999999,0.5934119
565.6854152679443,565.6854152679443,0.012174,0.066848,3310.4655359999997,1452.1973759999998,65.447424,179.68742400000002,800.0,45.0,622.4655359999997,1145.958912,2,0.42632400000000004,0.7853982
247.21360206604004,760.8452320098877,0.010096,0.069262,2900.5240319999994,1447.152,54.276096,186.17625600000002,800.0,18.0,212.52403199999935,1147.7598719999999,4,0.42699399999999993,0.31415927
61.80340051651001,190.21130800247192,0.045674,0.216784,3001.625088,1753.96032,245.543424,582.7153920000001,200.0,18.0,313.6250879999998,642.681984,7,0.23909300000000003,0.31415927
92.70510077476501,285.3169620037079,0.030351,0.165154,2992.87296,1644.3221760000001,163.166976,443.933952,300.0,18.0,304.87296000000015,821.7108479999999,7,0.30569599999999997,0.31415927
0.0,600.0,0.017748,0.111017,2641.744896,1517.7361920000003,95.413248,298.413696,600.0,0.0,-46.25510399999985,1021.0569599999997,4,0.37985749999999985,0.0
0.0,700.0,0.015141,0.11493,2629.111296,1514.464896,81.398016,308.93184,700.0,0.0,-58.88870399999996,1019.069184,4,0.37911799999999996,0.0
212.13203072547913,212.13203072547913,0.03071,0.170815,3283.725312,1618.1383680000001,165.09696,459.15072,300.0,45.0,595.725312,840.2862719999998,1,0.31260649999999995,0.7853982
141.42135381698608,141.42135381698608,0.04506,0.218347,3301.6972799999994,1710.2830079999999,242.24256000000003,586.916736,200.0,45.0,613.6972799999994,684.258624,1,0.2545605,0.7853982
0.0,700.0,0.018799,0.084049,2644.142592,1471.0483199999996,101.063424,225.923712,700.0,0.0,-43.85740799999985,1103.9898240000005,5,0.41071050000000014,0.0
0.0,600.0,0.0213,0.09626,2643.766272,1492.810368,114.5088,258.74688,600.0,0.0,-44.233728000000156,1065.816192,5,0.396509,0.0
370.82040309906006,1141.2678480148315,0.008559,0.049741,3011.586816,1417.5194880000001,46.013184,133.703808,1200.0,18.0,323.586816,1203.6286079999998,8,0.4477784999999999,0.31415927
92.70510077476501,285.3169620037079,0.038893,0.18092,3057.535488,1616.99328,209.088768,486.31296,300.0,18.0,369.535488,827.8502400000002,6,0.3079800000000001,0.31415927
61.80340051651001,190.21130800247192,0.064712,0.250145,3031.8812159999998,1731.8004480000004,347.89171200000004,672.38976,200.0,18.0,343.88121599999977,620.0046719999996,6,0.23065649999999985,0.31415927
671.0314750671387,994.8451280593872,0.008499,0.048330000000000005,3238.373376,1418.6833920000001,45.690624,129.91104,1200.0,34.0,550.373376,1204.3610879999999,1,0.448051,0.5934119
247.21360206604004,760.8452320098877,0.014162,0.071326,2906.464512,1451.767296,76.134912,191.724288,800.0,18.0,218.464512,1140.37056,5,0.42424500000000004,0.31415927
1414.2135381698608,1414.2135381698608,0.006666,0.038452,3415.845888,1378.5219840000002,35.836416,103.358976,2000.0,45.0,727.8458879999998,1257.7985279999998,8,0.46793099999999993,0.7853982
279.5964479446411,414.518803358078,0.019658,0.110854,3152.077824,1514.4622080000001,105.68140799999999,297.975552,500.0,34.0,464.07782399999996,1024.550016,5,0.38115699999999997,0.5934119
223.6771583557129,331.6150426864624,0.020952,0.137249,3152.8788480000003,1548.169728,112.63795199999998,368.925312,400.0,34.0,464.8788480000003,955.367616,5,0.3554195,0.5934119
279.5964479446411,414.518803358078,0.013322,0.102635,3235.846656,1525.3727999999996,71.619072,275.88288,500.0,34.0,547.8466560000002,1024.6857600000003,7,0.3812075000000001,0.5934119
223.6771583557129,331.6150426864624,0.020635,0.128227,3232.809216,1570.727424,110.93376,344.67417600000005,400.0,34.0,544.8092160000001,944.9354880000001,7,0.35153850000000003,0.5934119
565.6854152679443,565.6854152679443,0.00739,0.059585,3309.1591679999997,1423.18848,39.72864,160.16448,800.0,45.0,621.1591679999997,1184.72928,1,0.4407475,0.7853982
989.9494767189026,989.9494767189026,0.007538,0.048652,3406.7980799999996,1406.299776,40.524288000000006,130.776576,1400.0,45.0,718.7980799999996,1216.3119359999998,8,0.4524969999999999,0.7853982
247.21360206604004,760.8452320098877,0.010573,0.065908,3004.7485440000005,1461.9709440000001,56.840448,177.16070399999998,800.0,18.0,316.7485440000005,1137.448704,7,0.423158,0.31415927
707.1067690849304,707.1067690849304,0.010021,0.061295,3305.7239039999995,1425.4087679999998,53.872896000000004,164.76096,1000.0,45.0,617.7239039999995,1180.2107520000002,2,0.4390665000000001,0.7853982
424.26406145095825,424.26406145095825,0.015811,0.096807,3414.233088,1484.122752,84.99993599999999,260.217216,600.0,45.0,726.233088,1073.76864,8,0.3994675,0.7853982
0.0,1700.0,0.006011,0.032692,2722.0730879999996,1401.9317760000001,32.315136,87.87609599999999,1700.0,0.0,34.07308799999964,1242.130176,7,0.46210199999999996,0.0
0.0,1600.0,0.006472,0.041298,2722.4816639999995,1413.5896320000002,34.793472,111.00902400000001,1600.0,0.0,34.481663999999455,1218.9058559999999,7,0.4534619999999999,0.0
92.70510077476501,285.3169620037079,0.027218,0.18427800000000003,2910.630912,1614.700416,146.323968,495.33926400000007,300.0,18.0,222.63091200000008,825.629952,4,0.307154,0.31415927
61.80340051651001,190.21130800247192,0.04047838086476573,0.2447102115915364,2922.9218031278733,1718.6384544618209,217.6117755289806,657.7810487580498,200.0,18.0,234.92180312787332,640.4710211591541,4,0.23827046918123293,0.31415927
0.0,700.0,0.012020999999999999,0.074403,2731.018751999999,1476.179712,64.62489599999999,199.995264,700.0,0.0,43.01875199999904,1111.8226559999998,7,0.41362449999999995,0.0
